户型,总价格,名字,小区,建造年代,楼层,面积,首付
        4室2厅2卫，,        423万,番禺大石,新月明珠花园,2007年,普通住宅中层(共23层)					,130平方米,126.90万                    
        2室2厅1卫，,        198万,番禺大石,滨江绿园,2007年,普通住宅中层(共11层)					,68平方米,59.40万                    
        5室3厅3卫，,        700万,番禺大石,锦绣银湾,2007年,普通住宅高层(共28层)					,195平方米,210.00万                    
        2室1厅1卫，,        88万,番禺大石,凯跃大厦,2000年,普通住宅中层(共9层)					,48平方米,26.40万                    
        2室1厅1卫，,        220万,番禺大石,丽水湾,2003年,普通住宅低层(共11层)					,66平方米,66.00万                    
        2室1厅1卫，,        136万,番禺大石,天骄时代,2017年,公寓低层(共23层)					,68平方米,40.80万                    
        3室2厅2卫，,        500万,番禺大石,锦绣银湾,2007年,普通住宅低层(共28层)					,143.3平方米,150.00万                    
        2室1厅1卫，,        146万,番禺大石,天骄时代,2016年,普通住宅中层(共27层)					,78平方米,43.80万                    
        3室2厅2卫，,        358万,番禺大石,新月明珠花园,2007年,普通住宅低层(共23层)					,107平方米,107.40万                    
        3室2厅2卫，,        100万,番禺大石,富新楼,2012年,普通住宅中层(共12层)					,103平方米,30.00万                    
        3室2厅2卫，,        245万,番禺大石,富庭华园,2004年,普通住宅中层(共7层)					,99平方米,73.50万                    
        2室2厅1卫，,        200万,番禺大石,丽水湾,2005年,普通住宅低层(共12层)					,68平方米,60.00万                    
        3室2厅1卫，,        270万,番禺大石,富庭华园,2002年,普通住宅中层(共7层)					,95平方米,81.00万                    
        2室2厅1卫，,        130万,番禺大石,富丽广场康悦居,2001年,普通住宅高层(共6层)					,62平方米,39.00万                    
        3室1厅1卫，,        285万,番禺大石,滨江绿园,2007年,普通住宅低层(共11层)					,86平方米,85.50万                    
        2室1厅1卫，,        90万,番禺大石,百丰楼,1999年,普通住宅中层(共8层)					,45平方米,27.00万                    
        3室2厅2卫，,        360万,番禺大石,新月明珠花园,2008年,普通住宅中层(共24层)					,113平方米,108.00万                    
        3室2厅2卫，,        80万,番禺大石,富新楼,2012年,普通住宅中层(共17层)					,112平方米,24.00万                    
        3室2厅2卫，,        295万,番禺大石,丽水湾,2005年,普通住宅高层(共11层)					,105平方米,88.50万                    
        2室2厅1卫，,        130万,番禺大石,天骄时代,2010年,普通住宅中层(共12层)					,69平方米,39.00万                    
        2室2厅1卫，,        145万,番禺大石,今日丽舍,2000年,普通住宅中层(共9层)					,70平方米,43.50万                    
        3室1厅1卫，,        185万,番禺大石,富丽广场丽茗居,2001年,普通住宅高层(共6层)					,82平方米,55.50万                    
        2室1厅1卫，,        170万,番禺大石,中环品悦,2013年,普通住宅高层(共22层)					,60平方米,51.00万                    
        4室2厅2卫，,        540万,番禺大石,锦绣银湾,2007年,普通住宅中层(共28层)					,156平方米,162.00万                    
        3室2厅2卫，,        365万,番禺大石,华筑翡翠湾,2018年,普通住宅中层(共27层)					,104平方米,109.50万                    
        3室2厅2卫，,        328万,番禺大石,滨江绿园,2005年,普通住宅中层(共11层)					,111平方米,98.40万                    
